secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
NVTK,TQBR,1h,2024-11-18 09:00:00+00:00,902.0,902.0,902.0,902.0,11276,10170952.0,
NVTK,TQBR,1h,2024-11-18 10:00:00+00:00,903.2,911.6,896.0,907.8,423500,383042857.99999994,
NVTK,TQBR,1h,2024-11-18 11:00:00+00:00,907.6,913.2,905.4,906.8,133017,120938336.80000003,
NVTK,TQBR,1h,2024-11-18 12:00:00+00:00,906.8,909.0,897.6,899.0,195755,176626890.6000003,
NVTK,TQBR,1h,2024-11-18 13:00:00+00:00,899.0,903.0,898.2,901.2,141545,127554289.99999999,
NVTK,TQBR,1h,2024-11-18 14:00:00+00:00,901.2,905.8,897.8,905.2,135051,121784402.19999999,
NVTK,TQBR,1h,2024-11-18 15:00:00+00:00,905.2,906.4,899.0,899.0,98009,88314974.60000002,
NVTK,TQBR,1h,2024-11-18 16:00:00+00:00,898.8,905.2,898.2,904.0,70977,63999444.800000004,
NVTK,TQBR,1h,2024-11-18 17:00:00+00:00,903.8,907.8,900.8,904.0,125902,113905691.60000001,
NVTK,TQBR,1h,2024-11-18 18:00:00+00:00,903.8,905.2,895.4,895.4,158110,142089505.59999985,
NVTK,TQBR,1h,2024-11-18 19:00:00+00:00,896.4,904.0,890.4,903.6,461000,413912334.0000001,
NVTK,TQBR,1h,2024-11-18 20:00:00+00:00,903.6,905.4,902.4,903.4,56247,50846146.799999975,
NVTK,TQBR,1h,2024-11-18 21:00:00+00:00,903.4,904.0,899.0,899.4,48411,43625749.20000002,
NVTK,TQBR,1h,2024-11-18 22:00:00+00:00,899.4,901.6,898.2,899.0,21799,19614434.999999996,
NVTK,TQBR,1h,2024-11-18 23:00:00+00:00,898.8,900.0,897.4,898.8,26413,23738435.800000004,
NVTK,TQBR,1h,2024-11-19 09:00:00+00:00,898.0,898.0,898.0,898.0,2293,2059114.0,
NVTK,TQBR,1h,2024-11-19 10:00:00+00:00,898.0,901.0,893.0,894.4,156293,140180700.19999996,
NVTK,TQBR,1h,2024-11-19 11:00:00+00:00,894.0,894.8,880.0,883.0,341207,302660889.4,
NVTK,TQBR,1h,2024-11-19 12:00:00+00:00,882.8,886.4,875.8,886.2,262302,231081043.6,
NVTK,TQBR,1h,2024-11-19 13:00:00+00:00,886.4,893.2,883.2,887.8,196285,174296063.99999997,
NVTK,TQBR,1h,2024-11-19 14:00:00+00:00,888.0,888.0,878.0,880.0,204153,180175959.00000006,
NVTK,TQBR,1h,2024-11-19 15:00:00+00:00,880.2,882.0,874.0,874.0,200027,175583040.2,
NVTK,TQBR,1h,2024-11-19 16:00:00+00:00,874.0,875.8,871.0,873.6,164175,143357049.40000004,
NVTK,TQBR,1h,2024-11-19 17:00:00+00:00,873.8,876.2,869.0,873.6,262060,228669753.00000003,
NVTK,TQBR,1h,2024-11-19 18:00:00+00:00,873.4,878.6,870.6,872.0,118439,103552596.4,
NVTK,TQBR,1h,2024-11-19 19:00:00+00:00,873.6,874.8,869.2,874.0,62867,54830589.39999998,
NVTK,TQBR,1h,2024-11-19 20:00:00+00:00,873.8,877.0,872.6,876.4,63826,55836801.00000001,
NVTK,TQBR,1h,2024-11-19 21:00:00+00:00,876.4,877.0,874.0,874.2,36977,32374162.19999999,
NVTK,TQBR,1h,2024-11-19 22:00:00+00:00,874.2,877.0,873.8,874.8,39933,34955653.4,
NVTK,TQBR,1h,2024-11-19 23:00:00+00:00,874.8,876.8,874.8,875.0,27454,24037829.4,
NVTK,TQBR,1h,2024-11-20 09:00:00+00:00,876.0,876.0,876.0,876.0,1563,1369188.0,
NVTK,TQBR,1h,2024-11-20 10:00:00+00:00,876.0,879.8,870.6,870.6,221132,193707337.0000001,
NVTK,TQBR,1h,2024-11-20 11:00:00+00:00,870.6,875.0,865.0,867.6,200506,174305859.39999995,
NVTK,TQBR,1h,2024-11-20 12:00:00+00:00,867.8,872.0,867.0,870.6,199526,173441113.8,
NVTK,TQBR,1h,2024-11-20 13:00:00+00:00,870.6,872.0,864.0,866.8,526672,457822681.20000005,
NVTK,TQBR,1h,2024-11-20 14:00:00+00:00,866.6,871.0,866.2,868.0,105898,92004230.6,
NVTK,TQBR,1h,2024-11-20 15:00:00+00:00,868.0,869.6,862.8,863.6,122371,105947335.59999998,
NVTK,TQBR,1h,2024-11-20 16:00:00+00:00,863.6,865.0,852.4,854.6,372487,319566793.3999999,
NVTK,TQBR,1h,2024-11-20 17:00:00+00:00,854.6,854.6,846.0,846.2,558218,474143224.1999997,
NVTK,TQBR,1h,2024-11-20 18:00:00+00:00,846.2,847.0,840.2,847.0,334288,282194049.59999996,
NVTK,TQBR,1h,2024-11-20 19:00:00+00:00,843.2,844.4,837.0,840.0,330375,277712480.7999999,
NVTK,TQBR,1h,2024-11-20 20:00:00+00:00,840.0,844.8,839.6,844.6,105904,89250031.4,
NVTK,TQBR,1h,2024-11-20 21:00:00+00:00,844.4,847.0,844.4,845.4,68138,57645847.0,
NVTK,TQBR,1h,2024-11-20 22:00:00+00:00,845.4,846.8,843.4,845.2,50451,42648210.99999999,
NVTK,TQBR,1h,2024-11-20 23:00:00+00:00,845.2,848.6,844.2,847.8,43163,36545901.99999999,
NVTK,TQBR,1h,2024-11-21 09:00:00+00:00,849.6,849.6,849.6,849.6,1738,1476604.8,
NVTK,TQBR,1h,2024-11-21 10:00:00+00:00,849.4,851.0,840.0,842.6,295919,250374261.80000004,
NVTK,TQBR,1h,2024-11-21 11:00:00+00:00,842.8,845.6,837.4,839.8,225623,189752602.60000002,
NVTK,TQBR,1h,2024-11-21 12:00:00+00:00,840.0,846.6,837.6,843.2,173299,146076935.2,
NVTK,TQBR,1h,2024-11-21 13:00:00+00:00,843.6,853.8,842.8,850.2,194569,165198365.39999998,
NVTK,TQBR,1h,2024-11-21 14:00:00+00:00,850.4,854.6,845.8,845.8,151644,128953084.4,
NVTK,TQBR,1h,2024-11-21 15:00:00+00:00,846.0,848.2,840.0,845.0,167421,141351271.00000003,
NVTK,TQBR,1h,2024-11-21 16:00:00+00:00,845.2,849.8,843.2,849.2,97330,82464774.0,
NVTK,TQBR,1h,2024-11-21 17:00:00+00:00,849.2,852.8,838.0,839.2,306371,258765779.20000005,
NVTK,TQBR,1h,2024-11-21 18:00:00+00:00,839.0,854.0,838.0,843.4,273754,231531262.2,
NVTK,TQBR,1h,2024-11-21 19:00:00+00:00,843.6,847.6,841.6,845.6,48453,40893095.80000001,
NVTK,TQBR,1h,2024-11-21 20:00:00+00:00,845.6,850.2,840.0,850.2,217940,184232752.19999996,
NVTK,TQBR,1h,2024-11-21 21:00:00+00:00,850.4,853.8,846.2,852.6,102429,87121194.20000002,
NVTK,TQBR,1h,2024-11-21 22:00:00+00:00,852.6,860.6,851.0,857.6,260154,222711315.79999998,
NVTK,TQBR,1h,2024-11-21 23:00:00+00:00,857.6,870.0,857.0,864.8,209293,180880362.8000001,
NVTK,TQBR,1h,2024-11-22 09:00:00+00:00,865.6,865.6,865.6,865.6,391,338449.6,
NVTK,TQBR,1h,2024-11-22 10:00:00+00:00,865.8,868.0,853.0,861.6,263991,226609587.6000001,
NVTK,TQBR,1h,2024-11-22 11:00:00+00:00,861.4,863.4,846.4,848.6,268093,229096556.20000002,
NVTK,TQBR,1h,2024-11-22 12:00:00+00:00,848.0,851.2,844.2,849.4,218592,185415664.0,
NVTK,TQBR,1h,2024-11-22 13:00:00+00:00,849.4,853.6,842.6,842.6,207305,176052619.60000005,
NVTK,TQBR,1h,2024-11-22 14:00:00+00:00,843.0,845.0,839.0,840.4,318580,267760736.79999995,
NVTK,TQBR,1h,2024-11-22 15:00:00+00:00,840.4,841.2,831.2,834.0,381852,319659992.40000004,
